TheTime,NO,NO2,NOx,O3 (ppb),CO (ppm)
2021-01-09 00:00:14,94.49172,94.20404,93.69054,6.24399,0.703275
2021-01-09 00:00:24,93.47786,94.20404,93.69054,6.363589999999999,0.703275
2021-01-09 00:00:34,94.49172,94.20404,93.69054,6.363589999999999,0.703275
2021-01-09 00:00:44,94.49172,93.1913,93.69054,6.24399,0.703275
2021-01-09 00:00:54,94.49172,93.1913,93.69054,6.124388,0.7002849999999999
2021-01-09 00:01:04,93.47786,95.2168,93.69054,5.885186,0.703275
2021-01-09 00:01:14,93.47786,94.20404,93.69054,6.124388,0.691315
2021-01-09 00:01:24,94.49172,93.1913,93.69054,6.363589999999999,0.691315
2021-01-09 00:01:34,93.47786,93.1913,93.69054,6.24399,0.703275
2021-01-09 00:01:44,94.49172,94.20404,93.69054,6.24399,0.7002849999999999
2021-01-09 00:01:54,94.49172,94.20404,93.69054,6.363589999999999,0.7002849999999999
2021-01-09 00:02:04,93.47786,94.20404,93.69054,5.885186,0.703275
2021-01-09 00:02:14,93.47786,94.20404,93.69054,6.124388,0.7002849999999999
2021-01-09 00:02:24,93.47786,94.20404,93.69054,6.124388,0.7152355
2021-01-09 00:02:34,94.49172,95.2168,93.69054,6.363589999999999,0.709255
2021-01-09 00:02:44,93.47786,94.20404,93.69054,6.24399,0.7122455
2021-01-09 00:02:54,94.49172,94.20404,93.69054,6.24399,0.7122455
2021-01-09 00:03:04,94.49172,94.20404,93.69054,6.483192,0.709255
2021-01-09 00:03:14,94.49172,94.20404,93.69054,6.24399,0.7002849999999999
2021-01-09 00:03:24,93.47786,94.20404,93.69054,6.24399,0.703275
2021-01-09 00:03:34,93.47786,94.20404,93.69054,6.363589999999999,0.697295
2021-01-09 00:03:44,94.49172,94.20404,93.69054,6.363589999999999,0.691315
2021-01-09 00:03:54,94.49172,94.20404,92.6767,6.24399,0.703275
2021-01-09 00:04:04,93.47786,94.20404,93.69054,6.602792,0.691315
2021-01-09 00:04:14,94.49172,94.20404,93.69054,6.7223939999999995,0.7002849999999999
2021-01-09 00:04:24,94.49172,94.20404,93.69054,6.602792,0.691315
2021-01-09 00:04:34,94.49172,95.2168,94.70438,7.081198,0.691315
2021-01-09 00:04:44,94.49172,94.20404,93.69054,6.961596,0.703275
2021-01-09 00:04:54,94.49172,94.20404,93.69054,6.7223939999999995,0.7002849999999999
2021-01-09 00:05:04,94.49172,94.20404,93.69054,6.7223939999999995,0.7062649999999999
2021-01-09 00:05:14,93.47786,94.20404,93.69054,6.961596,0.7002849999999999
2021-01-09 00:05:24,94.49172,94.20404,94.70438,7.081198,0.6943050000000001
2021-01-09 00:05:34,93.47786,94.20404,94.70438,6.841996,0.6943050000000001
2021-01-09 00:05:44,94.49172,94.20404,93.69054,6.961596,0.691315
2021-01-09 00:05:54,94.49172,94.20404,93.69054,6.483192,0.6943050000000001
2021-01-09 00:06:04,93.47786,94.20404,93.69054,6.24399,0.682345
2021-01-09 00:06:14,94.49172,94.20404,93.69054,6.602792,0.691315
2021-01-09 00:06:24,93.47786,94.20404,93.69054,6.363589999999999,0.682345
2021-01-09 00:06:34,94.49172,93.1913,93.69054,6.7223939999999995,0.6883250000000001
2021-01-09 00:06:44,94.49172,94.20404,93.69054,6.841996,0.691315
2021-01-09 00:06:54,93.47786,94.20404,93.69054,6.961596,0.7002849999999999
2021-01-09 00:07:04,93.47786,95.2168,93.69054,6.483192,0.703275
2021-01-09 00:07:14,94.49172,94.20404,93.69054,6.7223939999999995,0.703275
2021-01-09 00:07:24,93.47786,94.20404,93.69054,7.200798,0.703275
2021-01-09 00:07:34,94.49172,94.20404,93.69054,6.7223939999999995,0.7002849999999999
2021-01-09 00:07:44,93.47786,94.20404,93.69054,6.24399,0.6943050000000001
2021-01-09 00:07:54,94.49172,94.20404,93.69054,6.602792,0.691315
2021-01-09 00:08:04,93.47786,95.2168,93.69054,6.7223939999999995,0.6943050000000001
2021-01-09 00:08:14,94.49172,94.20404,93.69054,6.363589999999999,0.6943050000000001
2021-01-09 00:08:24,93.47786,95.2168,93.69054,6.24399,0.6943050000000001
2021-01-09 00:08:34,93.47786,94.20404,93.69054,6.7223939999999995,0.682345
2021-01-09 00:08:44,93.47786,94.20404,92.6767,7.200798,0.682345
2021-01-09 00:08:54,94.49172,94.20404,93.69054,6.841996,0.6943050000000001
2021-01-09 00:09:04,94.49172,94.20404,93.69054,6.961596,0.685335
2021-01-09 00:09:14,94.49172,94.20404,92.6767,7.081198,0.691315
2021-01-09 00:09:24,93.47786,94.20404,93.69054,7.081198,0.6943050000000001
2021-01-09 00:09:34,94.49172,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:09:44,93.47786,94.20404,93.69054,6.961596,0.6793549999999999
2021-01-09 00:09:54,93.47786,94.20404,93.69054,6.841996,0.682345
2021-01-09 00:10:04,94.49172,95.2168,92.6767,6.841996,0.6793549999999999
2021-01-09 00:10:14,93.47786,94.20404,94.70438,6.841996,0.682345
2021-01-09 00:10:24,94.49172,95.2168,92.6767,6.7223939999999995,0.682345
2021-01-09 00:10:34,94.49172,94.20404,93.69054,6.7223939999999995,0.682345
2021-01-09 00:10:44,94.49172,94.20404,92.6767,6.841996,0.685335
2021-01-09 00:10:54,93.47786,94.20404,94.70438,7.081198,0.6793549999999999
2021-01-09 00:11:04,94.49172,94.20404,93.69054,7.3204,0.682345
2021-01-09 00:11:14,95.50556,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:11:24,93.47786,94.20404,93.69054,7.3204,0.682345
2021-01-09 00:11:34,93.47786,95.2168,93.69054,7.081198,0.682345
2021-01-09 00:11:44,93.47786,94.20404,94.70438,7.559602,0.691315
2021-01-09 00:11:54,94.49172,94.20404,93.69054,7.559602,0.682345
2021-01-09 00:12:04,93.47786,94.20404,93.69054,6.961596,0.685335
2021-01-09 00:12:14,94.49172,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:12:24,94.49172,95.2168,93.69054,7.200798,0.682345
2021-01-09 00:12:34,93.47786,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:12:44,94.49172,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:12:54,94.49172,94.20404,93.69054,7.200798,0.682345
2021-01-09 00:13:04,94.49172,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:13:14,94.49172,94.20404,93.69054,7.3204,0.682345
2021-01-09 00:13:24,93.47786,95.2168,92.6767,7.081198,0.682345
2021-01-09 00:13:34,93.47786,94.20404,93.69054,7.081198,0.6793549999999999
2021-01-09 00:13:44,93.47786,93.1913,93.69054,7.3204,0.685335
2021-01-09 00:13:54,94.49172,94.20404,93.69054,7.200798,0.691315
2021-01-09 00:14:04,94.49172,94.20404,92.6767,6.961596,0.6943050000000001
2021-01-09 00:14:14,94.49172,94.20404,93.69054,6.483192,0.691315
2021-01-09 00:14:24,93.47786,94.20404,93.69054,6.961596,0.6943050000000001
2021-01-09 00:14:34,94.49172,95.2168,93.69054,7.3204,0.691315
2021-01-09 00:14:44,93.47786,94.20404,93.69054,6.961596,0.691315
2021-01-09 00:14:54,94.49172,95.2168,94.70438,7.440002,0.6793549999999999
2021-01-09 00:15:04,94.49172,93.1913,94.70438,7.798804,0.682345
2021-01-09 00:15:14,94.49172,94.20404,93.69054,7.679204,0.682345
2021-01-09 00:15:24,94.49172,94.20404,93.69054,7.440002,0.670385
2021-01-09 00:15:34,94.49172,94.20404,93.69054,7.3204,0.673375
2021-01-09 00:15:44,93.47786,94.20404,93.69054,7.679204,0.682345
2021-01-09 00:15:54,94.49172,94.20404,93.69054,7.679204,0.682345
2021-01-09 00:16:04,93.47786,94.20404,93.69054,7.081198,0.682345
2021-01-09 00:16:14,93.47786,94.20404,93.69054,7.200798,0.685335
2021-01-09 00:16:24,94.49172,94.20404,93.69054,7.440002,0.682345
2021-01-09 00:16:34,94.49172,93.1913,93.69054,7.440002,0.682345
2021-01-09 00:16:44,93.47786,94.20404,93.69054,7.440002,0.682345
2021-01-09 00:16:54,94.49172,94.20404,93.69054,7.440002,0.685335
2021-01-09 00:17:04,94.49172,94.20404,94.70438,7.440002,0.682345
2021-01-09 00:17:14,94.49172,94.20404,93.69054,7.440002,0.685335
2021-01-09 00:17:24,93.47786,94.20404,93.69054,7.440002,0.670385
2021-01-09 00:17:34,93.47786,93.1913,94.70438,7.679204,0.676365
2021-01-09 00:17:44,93.47786,94.20404,93.69054,8.27721,0.673375
2021-01-09 00:17:54,95.50556,94.20404,93.69054,8.038008000000001,0.673375
2021-01-09 00:18:04,94.49172,94.20404,93.69054,7.918406,0.673375
2021-01-09 00:18:14,94.49172,94.20404,94.70438,8.038008000000001,0.670385
2021-01-09 00:18:24,93.47786,94.20404,93.69054,7.679204,0.673375
2021-01-09 00:18:34,93.47786,94.20404,93.69054,7.559602,0.673375
2021-01-09 00:18:44,94.49172,94.20404,93.69054,7.440002,0.673375
2021-01-09 00:18:54,94.49172,94.20404,94.70438,7.200798,0.673375
2021-01-09 00:19:04,93.47786,94.20404,94.70438,7.679204,0.673375
2021-01-09 00:19:14,94.49172,95.2168,94.70438,7.918406,0.670385
2021-01-09 00:19:24,94.49172,94.20404,93.69054,7.679204,0.673375
2021-01-09 00:19:34,93.47786,94.20404,93.69054,7.559602,0.673375
2021-01-09 00:19:44,94.49172,94.20404,92.6767,7.440002,0.673375
2021-01-09 00:19:54,94.49172,94.20404,92.6767,7.679204,0.6793549999999999
2021-01-09 00:20:04,94.49172,95.2168,93.69054,7.440002,0.682345
2021-01-09 00:20:14,93.47786,94.20404,93.69054,7.200798,0.682345
2021-01-09 00:20:24,94.49172,94.20404,93.69054,7.679204,0.682345
2021-01-09 00:20:34,94.49172,94.20404,93.69054,7.440002,0.685335
2021-01-09 00:20:44,94.49172,94.20404,93.69054,7.798804,0.670385
2021-01-09 00:20:54,94.49172,93.1913,93.69054,7.679204,0.682345
2021-01-09 00:21:04,94.49172,94.20404,93.69054,7.440002,0.682345
2021-01-09 00:21:14,93.47786,94.20404,92.6767,7.440002,0.670385
2021-01-09 00:21:24,93.47786,94.20404,93.69054,7.679204,0.685335
2021-01-09 00:21:34,93.47786,94.20404,93.69054,7.798804,0.685335
2021-01-09 00:21:44,94.49172,95.2168,93.69054,7.798804,0.670385
2021-01-09 00:21:54,94.49172,93.1913,93.69054,7.798804,0.670385
